admit,gre,gpa
0,380.0,2.915018113873457
1,660.0,4.044540118847363
1,800.0,4.950714306409917
1,640.0,3.921993941811405
0,520.0,2.0698776028107955
1,760.0,3.5986584841970366
1,560.0,3.1360186404424364
0,400.0,2.30014901110665
1,540.0,3.545994520336203
0,700.0,3.8803811746516432
0,800.0,3.5194930527421717
0,440.0,3.1150698215818253
1,760.0,4.0580836121682
0,700.0,2.8379549841374727
1,700.0,4.866176145774936
0,480.0,2.453337406732853
0,780.0,3.727504457098487
0,360.0,2.061111846548644
0,800.0,3.1318442656818815
1,540.0,4.411115011743209
0,500.0,2.467535029455896
1,660.0,4.338072577796045
0,600.0,2.260351316513086
0,680.0,3.180229152580816
1,760.0,3.3705844942958025
1,800.0,4.629909852161995
1,620.0,4.4424426408004205
1,520.0,3.9523391106782766
1,780.0,3.4018249672071006
0,520.0,2.9635386917560083
0,540.0,3.2622883566152883
0,760.0,3.262133500855166
0,600.0,3.04937306879082
1,800.0,4.183404509853434
0,360.0,3.1067968912086337
0,400.0,2.9714215028449797
0,580.0,2.8530767237984036
0,520.0,2.76728424595694
1,500.0,3.4342422429595376
1,520.0,3.204756431632238
0,560.0,1.852459151738442
1,580.0,3.751945018642116
1,600.0,3.441229140198042
0,500.0,2.6205350308627344
0,700.0,2.139413300890917
1,460.0,4.06185289472238
1,580.0,3.599493860652042
0,500.0,2.7698497557551898
0,440.0,2.3125174177409304
0,400.0,3.2454321596656
0,640.0,3.2235697504563636
0,440.0,2.4235242735130993
0,740.0,3.338413855174358
1,680.0,3.5621446485352184
0,660.0,2.40378775375631
1,740.0,4.366361843293692
0,560.0,3.1380287163485274
0,380.0,2.398703664698929
0,400.0,2.9409394805490834
0,600.0,1.9490308762539144
1,620.0,3.6360699842170363
0,560.0,2.6059130678675717
0,640.0,2.868271916930208
1,680.0,4.6351759613930135
0,580.0,3.6605498074571936
0,600.0,2.775174886253488
0,740.0,3.5398851536153253
0,620.0,2.4051833439394716
0,580.0,3.142407623846264
0,800.0,2.9127022300375063
0,640.0,3.5476817154817004
0,300.0,2.276422304803475
0,480.0,2.8635973390638867
0,580.0,3.268410478244668
0,720.0,3.3683700179694105
0,720.0,3.939647916009436
0,560.0,3.112896765989853
1,800.0,4.19967378215836
0,540.0,2.960455319886812
1,620.0,4.514234438413611
0,700.0,2.028216433407798
0,620.0,2.8507860126419557
0,500.0,1.7341347441808683
0,380.0,2.573104208228893
1,500.0,4.192414568862042
0,520.0,2.7978820843113006
