dept,score
finance,5.0
accounting,4.0
finance,
accounting,5.0
finance,
accounting,4.0
finance,
accounting,
finance,6.0
accounting,8.0
finance,
accounting,6.0
finance,
accounting,6.0
finance,
accounting,8.0
finance,4.0
accounting,2.0
finance,
accounting,5.0
finance,
accounting,
finance,
accounting,9.0
finance,2.0
accounting,5.0
finance,
accounting,7.0
finance,
accounting,3.0
finance,
accounting,7.0
finance,5.0
accounting,8.0
finance,
accounting,
finance,
accounting,7.0
finance,
accounting,7.0
finance,6.0
accounting,9.0
finance,
accounting,10.0
finance,
accounting,4.0
finance,
accounting,6.0
finance,1.0
accounting,
finance,
accounting,6.0
finance,
accounting,3.0
finance,
accounting,6.0
finance,4.0
accounting,6.0
finance,
accounting,9.0
finance,
accounting,3.0
finance,
accounting,
finance,10.0
accounting,8.0
finance,
accounting,7.0
finance,
accounting,4.0
finance,
accounting,5.0
finance,6.0
accounting,6.0
finance,
accounting,8.0
finance,
accounting,
finance,
accounting,7.0
finance,6.0
accounting,10.0
finance,
accounting,8.0
finance,
accounting,6.0
finance,
accounting,4.0
finance,1.0
accounting,8.0
finance,
accounting,
finance,
accounting,5.0
finance,
accounting,3.0
finance,3.0
accounting,5.0
finance,
accounting,7.0
finance,
accounting,5.0
finance,
accounting,9.0
finance,4.0
accounting,
finance,
accounting,6.0
finance,
accounting,6.0
finance,
accounting,4.0
finance,2.0
accounting,9.0
finance,
accounting,6.0
finance,
accounting,7.0
finance,
accounting,
finance,2.0
accounting,7.0
finance,
accounting,7.0
finance,
accounting,7.0
finance,
accounting,8.0
finance,2.0
accounting,8.0
finance,
accounting,5.0
finance,
accounting,
finance,
accounting,6.0
finance,5.0
accounting,3.0
finance,
accounting,3.0
finance,
accounting,7.0
finance,
accounting,2.0
finance,6.0
accounting,7.0
finance,
accounting,
finance,
accounting,7.0
finance,
accounting,10.0
finance,3.0
accounting,5.0
finance,
accounting,4.0
finance,
accounting,9.0
finance,
accounting,10.0
finance,4.0
accounting,
finance,
accounting,3.0
finance,
accounting,7.0
finance,
accounting,10.0
finance,3.0
accounting,2.0
finance,
accounting,9.0
finance,
accounting,6.0
finance,
accounting,
finance,8.0
accounting,5.0
finance,
accounting,10.0
finance,
accounting,7.0
finance,
accounting,8.0
finance,8.0
accounting,3.0
finance,
accounting,6.0
finance,
accounting,
finance,
accounting,7.0
finance,5.0
accounting,6.0
finance,
accounting,6.0
finance,
accounting,5.0
finance,
accounting,5.0
finance,6.0
accounting,2.0
finance,
accounting,
finance,
accounting,4.0
finance,
accounting,8.0
finance,5.0
accounting,10.0
finance,
accounting,9.0
finance,
accounting,8.0
finance,
accounting,8.0
finance,6.0
accounting,
finance,
accounting,4.0
finance,
accounting,3.0
finance,
accounting,3.0
finance,7.0
accounting,3.0
finance,
accounting,8.0
finance,
accounting,10.0
finance,
accounting,
finance,5.0
accounting,5.0
finance,
accounting,10.0
finance,
accounting,7.0
finance,
accounting,5.0
finance,5.0
accounting,6.0
finance,
accounting,9.0
finance,
accounting,
finance,
accounting,8.0
finance,4.0
accounting,4.0
finance,
accounting,8.0
finance,
accounting,5.0
finance,
accounting,7.0
finance,5.0
accounting,4.0
finance,
accounting,
finance,
accounting,10.0
finance,
accounting,3.0
finance,5.0
accounting,5.0
finance,
accounting,5.0
finance,
accounting,8.0
finance,
accounting,2.0
finance,1.0
accounting,
finance,
accounting,5.0
finance,
accounting,4.0
finance,
accounting,5.0
finance,2.0
accounting,1.0
finance,
accounting,4.0
finance,
accounting,6.0
finance,
accounting,
finance,7.0
accounting,7.0
finance,
accounting,5.0
finance,
accounting,8.0
finance,
accounting,7.0
finance,0.0
accounting,5.0
finance,
accounting,7.0
finance,
accounting,
finance,
accounting,7.0
finance,3.0
accounting,10.0
finance,
accounting,4.0
finance,
accounting,4.0
finance,
accounting,4.0
finance,4.0
accounting,5.0
finance,
accounting,
finance,
accounting,9.0
finance,
accounting,7.0
finance,5.0
accounting,7.0
finance,
accounting,5.0
finance,
accounting,5.0
finance,
accounting,10.0
finance,5.0
accounting,
finance,
accounting,1.0
finance,
accounting,10.0
finance,
accounting,6.0
finance,7.0
accounting,4.0
finance,
accounting,7.0
finance,
accounting,7.0
finance,
accounting,
finance,2.0
accounting,6.0
finance,
accounting,6.0
finance,
accounting,8.0
finance,
accounting,8.0
finance,3.0
accounting,3.0
finance,
accounting,2.0
finance,
accounting,
finance,
accounting,8.0
finance,7.0
accounting,3.0
finance,
accounting,6.0
finance,
accounting,6.0
finance,
accounting,2.0
finance,4.0
accounting,8.0
finance,
accounting,
finance,
accounting,4.0
finance,
accounting,5.0
finance,4.0
accounting,2.0
finance,
accounting,10.0
finance,
accounting,3.0
finance,
accounting,9.0
finance,3.0
accounting,
finance,
accounting,7.0
finance,
accounting,8.0
finance,
accounting,6.0
finance,2.0
accounting,4.0
finance,
accounting,4.0
finance,
accounting,7.0
finance,
accounting,
finance,7.0
accounting,7.0
finance,
accounting,3.0
finance,
accounting,4.0
finance,
accounting,4.0
finance,9.0
accounting,5.0
finance,
accounting,6.0
finance,
accounting,
finance,
accounting,7.0
finance,4.0
accounting,2.0
finance,
accounting,4.0
finance,
accounting,4.0
finance,
accounting,7.0
finance,3.0
accounting,5.0
finance,
accounting,
finance,
accounting,5.0
finance,
accounting,6.0
finance,2.0
accounting,7.0
finance,
accounting,10.0
finance,
accounting,4.0
finance,
accounting,7.0
finance,2.0
accounting,
finance,
accounting,6.0
finance,
accounting,3.0
finance,
accounting,9.0
finance,3.0
accounting,7.0
finance,
accounting,3.0
finance,
accounting,3.0
finance,
accounting,
finance,6.0
accounting,6.0
finance,
accounting,10.0
finance,
accounting,5.0
finance,
accounting,7.0
finance,6.0
accounting,5.0
finance,
accounting,5.0
finance,
accounting,
finance,
accounting,6.0
finance,4.0
accounting,6.0
finance,
accounting,4.0
finance,
accounting,8.0
finance,
accounting,9.0
finance,1.0
accounting,6.0
finance,
accounting,
